        0.0000  -1.431075   0.293749  -1.137327 
       50.0000  -1.436704   0.295909  -1.140794 
      100.0000  -1.447134   0.295496  -1.151637 
      150.0000  -1.458235   0.296522  -1.161712 
      200.0000  -1.466065   0.294953  -1.171112 
      250.0000  -1.469472   0.296094  -1.173378 
      300.0000  -1.474638   0.296796  -1.177841 
      350.0000  -1.480977   0.298577  -1.182400 
      400.0000  -1.482281   0.296627  -1.185654 
      450.0000  -1.483211   0.295670  -1.187541 
      500.0000  -1.485997   0.294917  -1.191080 
      550.0000  -1.488487   0.293714  -1.194773 
      600.0000  -1.486513   0.294472  -1.192041 
      650.0000  -1.490891   0.293846  -1.197045 
      700.0000  -1.487800   0.291737  -1.196064 
      750.0000  -1.488340   0.292337  -1.196003 
      800.0000  -1.490999   0.293987  -1.197013 
      850.0000  -1.492847   0.292169  -1.200678 
      900.0000  -1.489727   0.296552  -1.193175 
      950.0000  -1.487887   0.295210  -1.192676 
     1000.0000  -1.490158   0.294805  -1.195353 
     1050.0000  -1.490978   0.293749  -1.197229 
     1100.0000  -1.491089   0.295601  -1.195488 
     1150.0000  -1.488748   0.293534  -1.195214 
     1200.0000  -1.489715   0.294787  -1.194928 
     1250.0000  -1.489399   0.294795  -1.194604 
     1300.0000  -1.488472   0.295299  -1.193174 
     1350.0000  -1.490806   0.291412  -1.199395 
     1400.0000  -1.487940   0.292168  -1.195772 
     1450.0000  -1.492253   0.295550  -1.196702 
     1500.0000  -1.490831   0.295821  -1.195010 
     1550.0000  -1.491988   0.294463  -1.197526 
     1600.0000  -1.490484   0.296718  -1.193766 
     1650.0000  -1.494437   0.293404  -1.201032 
     1700.0000  -1.491577   0.293066  -1.198511 
     1750.0000  -1.492231   0.294681  -1.197550 
     1800.0000  -1.488644   0.293491  -1.195153 
     1850.0000  -1.490751   0.296890  -1.193861 
     1900.0000  -1.491751   0.293944  -1.197807 
     1950.0000  -1.492351   0.293644  -1.198707 
     2000.0000  -1.490970   0.293562  -1.197409 
     2050.0000  -1.492496   0.293214  -1.199282 
     2100.0000  -1.491042   0.295195  -1.195847 
     2150.0000  -1.489855   0.293058  -1.196797 
     2200.0000  -1.491752   0.292695  -1.199056 
     2250.0000  -1.490374   0.293400  -1.196974 
     2300.0000  -1.491813   0.294297  -1.197516 
     2350.0000  -1.489909   0.292946  -1.196962 
     2400.0000  -1.491232   0.295698  -1.195534 
     2450.0000  -1.490478   0.292912  -1.197565 
     2500.0000  -1.492321   0.296716  -1.195605 
     2550.0000  -1.491025   0.294622  -1.196404 
     2600.0000  -1.493911   0.293983  -1.199928 
     2650.0000  -1.493030   0.293235  -1.199795 
     2700.0000  -1.491655   0.292389  -1.199266 
     2750.0000  -1.491934   0.294891  -1.197044 
     2800.0000  -1.492134   0.294416  -1.197719 
     2850.0000  -1.493517   0.293648  -1.199869 
     2900.0000  -1.491890   0.292059  -1.199831 
     2950.0000  -1.492764   0.297947  -1.194817 
     3000.0000  -1.489658   0.294878  -1.194780 
     3050.0000  -1.494945   0.296640  -1.198305 
     3100.0000  -1.489884   0.295531  -1.194353 
     3150.0000  -1.491520   0.295472  -1.196048 
     3200.0000  -1.491649   0.294001  -1.197649 
     3250.0000  -1.492667   0.294790  -1.197877 
     3300.0000  -1.491021   0.293879  -1.197141 
     3350.0000  -1.494964   0.295382  -1.199582 
     3400.0000  -1.493820   0.297339  -1.196481 
     3450.0000  -1.491857   0.292940  -1.198917 
     3500.0000  -1.492765   0.293108  -1.199657 
     3550.0000  -1.489525   0.294322  -1.195203 
     3600.0000  -1.490103   0.295385  -1.194717 
     3650.0000  -1.493740   0.292085  -1.201656 
     3700.0000  -1.491144   0.295371  -1.195773 
     3750.0000  -1.493028   0.295523  -1.197505 
     3800.0000  -1.491944   0.294060  -1.197884 
     3850.0000  -1.490962   0.295436  -1.195526 
     3900.0000  -1.491231   0.294842  -1.196388 
     3950.0000  -1.492623   0.294905  -1.197719 
     4000.0000  -1.491361   0.294757  -1.196604 
     4050.0000  -1.495121   0.294707  -1.200413 
     4100.0000  -1.491338   0.292939  -1.198399 
     4150.0000  -1.492948   0.292050  -1.200898 
     4200.0000  -1.492481   0.295795  -1.196686 
     4250.0000  -1.491947   0.293070  -1.198877 
     4300.0000  -1.493477   0.292611  -1.200865 
     4350.0000  -1.495356   0.293606  -1.201749 
     4400.0000  -1.492983   0.292178  -1.200805 
     4450.0000  -1.490214   0.295620  -1.194594 
     4500.0000  -1.489940   0.294959  -1.194980 
     4550.0000  -1.491475   0.293247  -1.198228 
     4600.0000  -1.492209   0.295155  -1.197054 
     4650.0000  -1.492249   0.292733  -1.199515 
     4700.0000  -1.494585   0.292589  -1.201996 
     4750.0000  -1.494617   0.295707  -1.198910 
     4800.0000  -1.490725   0.294587  -1.196138 
     4850.0000  -1.491015   0.293567  -1.197449 
     4900.0000  -1.494024   0.293323  -1.200702 
     4950.0000  -1.491057   0.291327  -1.199730 
     5000.0000  -1.492688   0.290476  -1.202211 
